9.129482	0	0	0	0	0	0	0	0
9.229548	9.129482	0	0	0	0	0	0	0
9.33351	9.229548	9.129482	0	0	0	0	0	0
9.491455	9.33351	9.229548	9.129482	0	0	0	0	0
9.638028	9.491455	9.33351	9.229548	9.129482	0	0	0	0
9.707064	9.638028	9.491455	9.33351	9.229548	9.129482	0	0	0
9.790289	9.707064	9.638028	9.491455	9.33351	9.229548	9.129482	0	0
9.897899	9.790289	9.707064	9.638028	9.491455	9.33351	9.229548	9.129482	0
9.948948	9.897899	9.790289	9.707064	9.638028	9.491455	9.33351	9.229548	9.129482
8.562081	0	0	0	0	0	0	0	0
8.850255	8.562081	0	0	0	0	0	0	0
9.115346	8.850255	8.562081	0	0	0	0	0	0
9.301689	9.115346	8.850255	8.562081	0	0	0	0	0
9.551062	9.301689	9.115346	8.850255	8.562081	0	0	0	0
9.707441	9.551062	9.301689	9.115346	8.850255	8.562081	0	0	0
9.813105	9.707441	9.551062	9.301689	9.115346	8.850255	8.562081	0	0
9.911579	9.813105	9.707441	9.551062	9.301689	9.115346	8.850255	8.562081	0
10.03716	9.911579	9.813105	9.707441	9.551062	9.301689	9.115346	8.850255	8.562081
8.80629	0	0	0	0	0	0	0	0
8.926847	8.80629	0	0	0	0	0	0	0
9.092496	8.926847	8.80629	0	0	0	0	0	0
9.288926	9.092496	8.926847	8.80629	0	0	0	0	0
9.522682	9.288926	9.092496	8.926847	8.80629	0	0	0	0
9.655625	9.522682	9.288926	9.092496	8.926847	8.80629	0	0	0
9.743298	9.655625	9.522682	9.288926	9.092496	8.926847	8.80629	0	0
9.834251	9.743298	9.655625	9.522682	9.288926	9.092496	8.926847	8.80629	0
9.953334	9.834251	9.743298	9.655625	9.522682	9.288926	9.092496	8.926847	8.80629
9.178167	0	0	0	0	0	0	0	0
9.262016	9.178167	0	0	0	0	0	0	0
9.322033	9.262016	9.178167	0	0	0	0	0	0
9.50087	9.322033	9.262016	9.178167	0	0	0	0	0
9.633476	9.50087	9.322033	9.262016	9.178167	0	0	0	0
9.773719	9.633476	9.50087	9.322033	9.262016	9.178167	0	0	0
9.838973	9.773719	9.633476	9.50087	9.322033	9.262016	9.178167	0	0
9.959341	9.838973	9.773719	9.633476	9.50087	9.322033	9.262016	9.178167	0
9.969576	9.959341	9.838973	9.773719	9.633476	9.50087	9.322033	9.262016	9.178167
9.084742	0	0	0	0	0	0	0	0
9.186414	9.084742	0	0	0	0	0	0	0
9.43679	9.186414	9.084742	0	0	0	0	0	0
9.62472	9.43679	9.186414	9.084742	0	0	0	0	0
9.762763	9.62472	9.43679	9.186414	9.084742	0	0	0	0
9.819914	9.762763	9.62472	9.43679	9.186414	9.084742	0	0	0
9.86053	9.819914	9.762763	9.62472	9.43679	9.186414	9.084742	0	0
9.985492	9.86053	9.819914	9.762763	9.62472	9.43679	9.186414	9.084742	0
10.03172	9.985492	9.86053	9.819914	9.762763	9.62472	9.43679	9.186414	9.084742
8.647877	0	0	0	0	0	0	0	0
8.820806	8.647877	0	0	0	0	0	0	0
9.042291	8.820806	8.647877	0	0	0	0	0	0
9.218806	9.042291	8.820806	8.647877	0	0	0	0	0
9.469256	9.218806	9.042291	8.820806	8.647877	0	0	0	0
9.565299	9.469256	9.218806	9.042291	8.820806	8.647877	0	0	0
9.713608	9.565299	9.469256	9.218806	9.042291	8.820806	8.647877	0	0
9.832104	9.713608	9.565299	9.469256	9.218806	9.042291	8.820806	8.647877	0
9.79502	9.832104	9.713608	9.565299	9.469256	9.218806	9.042291	8.820806	8.647877
9.176961	0	0	0	0	0	0	0	0
8.9019	9.176961	0	0	0	0	0	0	0
9.098041	8.9019	9.176961	0	0	0	0	0	0
9.321549	9.098041	8.9019	9.176961	0	0	0	0	0
9.54524	9.321549	9.098041	8.9019	9.176961	0	0	0	0
9.67383	9.54524	9.321549	9.098041	8.9019	9.176961	0	0	0
9.778395	9.67383	9.54524	9.321549	9.098041	8.9019	9.176961	0	0
9.856823	9.778395	9.67383	9.54524	9.321549	9.098041	8.9019	9.176961	0
